animal_id,event,active,climbing,drinking,feeding,inactive,inferred_sleep,locomotion
9275,Rep1_Dose1,-93.31452138050793,-38.23045267489713,-100.0,-100.0,-78.6949243508485,-100.0,2291.9504053409637
9276,Rep1_Dose2,-89.73320903804324,84.33333333333334,-100.0,-100.0,-92.07405707290948,-100.0,523.4273504273505
9277,Rep1_Dose1,-92.55978742249779,32.97678275290213,-100.0,-100.0,-87.33509735902565,-100.0,1356.660909614278
9277,Rep1_Dose2,-90.61986423722757,669.4117647058823,-100.0,-100.0,-92.93754138159346,-100.0,930.067750677507
9278,Rep1_Dose1,-87.65658417354109,47.93786925862395,-100.0,-100.0,-88.61417530465793,-100.0,815.4091816367267
9278,Rep1_Dose2,-90.0922019065479,52.22656249999999,-100.0,-100.0,-90.7904477152773,-100.0,646.0489060489061
9279,Rep1_Dose1,-83.21659662464145,87.85772857728574,-100.0,-100.0,-76.5251093733178,-100.0,534.5503875968992
9280,Rep1_Dose1,-89.70956803774142,20.71759259259256,-100.0,-100.0,-79.92689165900292,-100.0,532.5387205387206
9280,Rep1_Dose2,-83.80351808828411,454.48275862068954,-100.0,-100.0,-94.220075153856,-100.0,1445.0381679389309
9281,Rep1_Dose2,-53.13249869587896,190.22988505747128,-100.0,-100.0,-94.13654618473896,-100.0,1432.3067632850243
9282,Rep1_Dose1,-79.92277992277992,26.114695340501804,-100.0,-100.0,-88.82483370288247,-100.0,1963.272128060264
9283,Rep1_Dose1,-84.52516944634834,-45.71134626690183,-100.0,-100.0,-81.23187492119531,-100.0,737.394247038917
9283,Rep1_Dose2,-71.44702842377262,-60.51167964404895,-100.0,-100.0,-92.62087689065723,-100.0,1274.5079365079364
9284,Rep2_Dose1,-71.5878535002318,-24.4367816091954,-100.0,-100.0,-90.90094483389211,-100.0,570.9137709137709
9284,Rep2_Dose2,-90.89321880019554,-23.065476190476186,-100.0,-100.0,-63.818405262777425,-100.0,729.7708840227084
9285,Rep2_Dose1,-79.26964624881292,-69.74074074074073,-100.0,-100.0,-91.8201624083977,-100.0,671.5447154471545
9285,Rep2_Dose2,-88.66839229220592,-42.339869281045736,-100.0,-100.0,-82.95154830516753,-100.0,643.0287296642439
9286,Rep2_Dose1,-61.16293417237336,-68.33333333333334,-100.0,-100.0,-89.4626842985256,-100.0,576.6393442622953
9286,Rep2_Dose2,-92.44796700818353,-30.656660412757976,-100.0,-100.0,-79.72699496051744,-100.0,671.1715555555556
9287,Rep2_Dose1,-95.68738674860158,-83.03330333033303,-100.0,-100.0,-95.23809523809524,-100.0,1165.3098643197654
9287,Rep2_Dose2,-96.06741573033707,-66.35455680399501,-100.0,-100.0,-89.48628266654272,-100.0,894.3434343434344
9288,Rep2_Dose1,-89.96660823107105,-74.36868686868688,-100.0,-100.0,-83.55304101838755,-100.0,654.8283261802575
9288,Rep2_Dose2,-95.02541757443717,-72.02418178027933,-100.0,-100.0,-93.62516361746985,-100.0,746.7188126754911
9289,Rep2_Dose1,-92.2774469384639,-84.20220243673853,-100.0,-100.0,-85.16296966953372,-100.0,744.7976282547048
9289,Rep2_Dose2,-96.95028972247637,-1.4846743295019122,-100.0,-100.0,-93.57818480908544,-100.0,1099.353940406572
9290,Rep2_Dose1,-88.80922847928554,128.14814814814815,-100.0,-100.0,-80.78619546621043,-100.0,902.1916411824672
9290,Rep2_Dose2,-91.44005772600762,143.50578476315212,-100.0,-99.07407407407408,-95.17102615694164,-100.0,953.6071184120466
9291,Rep2_Dose1,-85.55836084676636,89.01960784313722,-100.0,-100.0,-93.54716408856535,-100.0,1126.3125763125763
9291,Rep2_Dose2,-94.38087477476442,133.5798255593477,-100.0,-78.72892347600519,-84.20281359906213,-100.0,472.8560431100847
9292,Rep2_Dose1,-83.57313512078576,332.8735632183908,-100.0,-100.0,-95.54012128049641,-100.0,1315.2207977207977
9292,Rep2_Dose2,-93.67378454656797,31.82228557852221,-100.0,-79.2402354200107,-54.48916408668731,-100.0,359.34837092731846
